FREQ,EER_TYPE,EER_BASKET,REF_AREA,UNIT_MEASURE,TIME_FORMAT,COLLECTION,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2004-10,82.81,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2004-11,80.76,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2004-12,79.31,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2005-01,79.74,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2005-02,79.41,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2005-03,78.31,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2005-04,79.05,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2005-05,79.47,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2005-06,81.15,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2005-07,82.05,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2005-08,80.85,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2005-09,80.59,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2005-10,81.85,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2005-11,83.2,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2005-12,82.8,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2006-01,81.42,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2006-02,81.63,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2006-03,81.67,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2006-04,80.41,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2006-05,78.31,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2006-06,79.29,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2006-07,79.44,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2006-08,78.84,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2006-09,79.29,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2006-10,80.08,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2006-11,79.34,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2006-12,78.15,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2007-01,79.53,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2007-02,78.48,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2007-03,77.87,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2007-04,76.64,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2007-05,76.24,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2007-06,76.47,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2007-07,76.17,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2007-08,76.74,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2007-09,76.33,A,F,
